name,region,location,category,tier,contact,contactType,contactUrl,fit,activation,ask,status,verification,checked,sourceUrl,additionalSources,positions,logoUrls
Altra,Runningman roster,National prospect,Trail + movement,1,Contact form / altra_customerservice@vfc.com,General customer service; request field marketing,https://www.altrarunning.com/en-us/pages/contact-us,Trail and running footwear connects directly to the ranch’s singletrack.,"A try-on trail-shoe library and a short, hosted introductory run on an approved route.","Ask for Texas field-marketing coverage, demo size run, staff and shoe-cleaning plan.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.altrarunning.com/en-us/pages/contact-us,,1,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-258.svg
FjØRD,Runningman roster,National prospect,Recovery + wellness,2,steven@fjordcoldplunge.com,Named public company contact,https://fjordcoldplunge.com/pages/contact,Cold-plunge maker with an official Runningman activation on its own site.,"A bookable, staffed plunge station within a shaded recovery area.","Ask about Texas delivery, water treatment, power, drainage, supervision and participants per hour.",Prospect, no agreement,Official contact route checked,2026-09-20,https://fjordcoldplunge.com/pages/contact,https://fjordcoldplunge.com/,2,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-260.svg
Goodwipes,Runningman roster,National prospect,Camp + comfort,1,Event donations route in FAQ; help@goodwipes.com,Event / donation route,https://www.goodwipes.com/pages/faq,Portable wipes meet a practical camping and post-ride need.,"A refresh point at the return from trails, with individually packaged wipes and clear disposal bins.","Request event donation eligibility, unit count, shipment timing and a disposal plan approved by sanitation vendor.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.goodwipes.com/pages/faq,,3,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-261.svg
MoonBrew,Runningman roster,National prospect,Recovery + wellness,3,hi@moonbrew.co,General support,https://moonbrew.co/policies/terms-of-service,Nighttime drink brand; better suited to an optional adult product tasting than a promised sleep benefit.,"An opt-in evening sampling table near the quiet camp lounge, with ingredients visible.","Ask for event sampling policy, serving guidance, product labeling and staffing; keep ordinary drinks available.",Prospect, no agreement,Official contact route checked,2026-09-20,https://moonbrew.co/policies/terms-of-service,,4,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-267.svg
Everyday Dose,Runningman roster,National prospect,Food + drink,2,Help Center contact form,General support; request partnerships,https://help.everydaydose.com/en-US,Coffee and matcha blends lend themselves to a morning social ritual.,"A small morning brew bar before trail activities, with a regular coffee alternative.","Ask for product, trained servers, hot water, cups, ingredient signage and whether sponsorship or paid catering is offered.",Prospect, no agreement,Official contact route checked,2026-09-20,https://help.everydaydose.com/en-US,,5,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-275.svg
Rythm Health,Runningman roster,National prospect,Recovery + wellness,3,Official event-partnership application,Explicit event partnership route,https://go.rythmhealth.com/eventpartnerships,At-home health testing with a dedicated event-partnership route; an exploratory expo fit with medical-data considerations.,"An optional educational conversation about personal health data, with a clear path to ask questions privately.","Ask about event scope, clinician involvement, privacy responsibilities and staffing; keep testing optional and separate from festival entry.",Prospect, no agreement,Identity visually matched; event partnership route verified,2026-09-20,https://rythmhealth.com/,,6,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-269.svg
Tempur-Pedic,Runningman roster,National prospect,Camp + comfort,2,Official contact form,General support; request experiential marketing,https://help.tempurpedic.com/hc/en-us/requests/new,Bedding and sleep products could add real comfort to a long outdoor day.,"A shaded rest lounge with washable covers and a quiet, short product demonstration.","Ask for local retailer involvement, loan equipment, sanitation, delivery and weather protection.",Prospect, no agreement,Official contact route checked,2026-09-20,https://help.tempurpedic.com/hc/en-us/requests/new,,7,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-301.svg
WILDE,Runningman roster,National prospect,Food + drink,2,customercare@wildebrands.com,General support; request events,https://www.wildebrands.com/pages/faq,Protein chips offer an easy packaged snack with minimal preparation.,A post-ride snack stop or arrival bag sample with clear ingredients and a plant-based option beside it.,"Ask for case donation versus wholesale pricing, portions, allergen labeling and delivery.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.wildebrands.com/pages/faq,,8,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-273.svg
Painterland Sisters,Runningman roster,National prospect,Food + drink,2,Official contact form,General company contact,https://painterlandsisters.com/pages/contact,Organic skyr yogurt brings a farm-based story to a working-ranch setting.,A morning yogurt tasting or breakfast cup alongside a dairy-free choice.,"Ask for cold-chain delivery, refrigeration, servers, allergen labels and waste handling.",Prospect, no agreement,Official contact route checked,2026-09-20,https://painterlandsisters.com/pages/contact,,9,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-274.svg
KALA,Runningman roster,National prospect,Recovery + wellness,3,kala@kalaredlight.com,General company contact,https://kalaredlight.com/en-intl/pages/contact-us-1,"Light-therapy devices are an exploratory expo fit, with more operating needs than simple product sampling.",A staffed device demonstration in a sheltered recovery booth; avoid event-wide treatment claims.,"Ask for approved devices, operator guidance, required shielding and power, and current product safety documentation.",Prospect, no agreement,Official contact route checked,2026-09-20,https://kalaredlight.com/en-intl/pages/contact-us-1,,10,https://runningmanfestival.com/wp-content/uploads/2025/08/Kala-Light-Therapy.webp
KOH,Runningman roster,Pending verification,Identity check,3,Ask Runningman to identify this roster partner,Organizer routing only, brand contact unverified,https://runningmanfestival.com/contact-us/,The displayed logo was retained in the full roster. A reliable primary-source business match was not established.,Hold a category-specific proposal until the organizer confirms the exact company.,Send the original logo link to Runningman and ask for the company’s official website or a public partnership contact. Do not contact a similarly named business.,Prospect, no agreement,Business identity / direct contact unresolved,2026-09-20,https://runningmanfestival.com/,,11,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-263.svg
Loftie,Runningman roster,National prospect,Camp + comfort,2,Loftie Support,General support; request hospitality partnerships,https://byloftie.com/pages/loftie-support,"Clocks, lamps and sound content suit a deliberately quiet place between activities.",A low-light listening nook demonstrating wind-down sounds away from the main stage.,"Ask for a small loan kit, power, content permissions and an acoustic plan that respects camping quiet hours.",Prospect, no agreement,Official contact route checked,2026-09-20,https://byloftie.com/pages/loftie-support,,12,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-264.svg
Magic Molecule,Runningman roster,National prospect,Camp + comfort,3,hello@magic.science,General company contact,https://magicmolecule.com/pages/promo-terms,Skin-care products can be an optional personal-care sample.,A sealed travel-size skin-care giveaway at the camp refresh station.,"Ask for current labeling, suitable storage and sample supply; keep it separate from festival medical care.",Prospect, no agreement,Official contact route checked,2026-09-20,https://magicmolecule.com/pages/promo-terms,,13,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-265.svg
Collective Water,Runningman roster,Pending verification,Identity check,3,Ask Runningman to identify this roster partner,Organizer routing only, brand contact unverified,https://runningmanfestival.com/contact-us/,The displayed logo was retained in the full roster. A reliable primary-source business match was not established.,Hold a category-specific proposal until the organizer confirms the exact company.,Send the original logo link to Runningman and ask for the company’s official website or a public partnership contact. Do not contact a similarly named business.,Prospect, no agreement,Business identity / direct contact unresolved,2026-09-20,https://runningmanfestival.com/,,14,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-259.svg
Lone River,Runningman roster,National prospect,Food + drink,2,Official brand site / contact navigation,General brand route; direct partnerships contact unverified,https://www.loneriverbevco.com/,Texas-rooted ranch-water beverages fit an adult sunset gathering.,"An adult-only sunset bar moment, with equally visible alcohol-free choices.","Ask the brand for a Texas distribution/experiential lead; establish licensed service, age checks and category terms before an offer.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.loneriverbevco.com/,,15; 37,https://runningmanfestival.com/wp-content/uploads/2025/08/LoneRiver-White.svg; https://runningmanfestival.com/wp-content/uploads/2025/08/lone-1.svg
Cold Freak,Runningman roster,National prospect,Food + drink,2,support@coldfreak.com,General support; request events,https://coldfreak.com/policies/terms-of-service,Frozen desserts offer a playful cooling break during an outdoor weekend.,A small cold-treat cart after the family adventure area or trail return.,"Ask for mobile freezer capacity, power, replenishment, staffing and allergen information.",Prospect, no agreement,Official contact route checked,2026-09-20,https://coldfreak.com/policies/terms-of-service,,16,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-293.svg
Hyperice,Runningman roster,National prospect,Recovery + wellness,1,sales@hyperice.com,Business sales,https://hyperice.com/pages/about-us,Percussion and compression products can support a hands-on recovery demonstration.,"A staffed recovery lounge where riders can try devices in short, scheduled sessions.","Ask for demo devices, trained staff, hygiene protocol, seating, shade and throughput.",Prospect, no agreement,Official contact route checked,2026-09-20,https://hyperice.com/pages/about-us,,17,https://runningmanfestival.com/wp-content/uploads/2025/08/Layer_2.svg
Wellworthy,Runningman roster,National prospect,Community + media,1,team@wellworthy.com,Company editorial / commercial contact,https://wellworthy.com/contact/,Wellness media and product discovery; Runningman announced its Better For You Bodega.,"A curated Gryphus discovery counter featuring a few useful food, hydration and camp products.","Ask whether they would curate brands, provide coverage or produce a paid activation; separate editorial interest from paid deliverables.",Prospect, no agreement,Official contact route checked,2026-09-20,https://wellworthy.com/contact/,https://insider.fitt.co/press-release/runningman-festival-announces-first-wave-of-brand-sponsors-for-2026-cementing-its-position-as-americas-premier-movement-wellness-festival/,18,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-272.svg
Pioneer Pastures,Runningman roster,National prospect,Food + drink,2,hi@pioneerpastures.com,Company / wholesale inquiry,https://pioneerpastures.com/pages/faq,Milk and protein shakes pair naturally with morning camp meals.,A chilled post-ride drink tasting with product ingredients visible.,"Ask for Texas distribution, cold-chain requirements, donation versus purchase terms and dairy-free alternatives nearby.",Prospect, no agreement,Official contact route checked,2026-09-20,https://pioneerpastures.com/pages/faq,,19,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-268.svg
Mess Hall,Runningman roster,National prospect,Apparel + expression,1,Mobile pop-up / events inquiry,Explicit event activation route,https://www.messhall.us/pages/mobile-pop-up,Custom hats and patches create a hands-on souvenir guests can make together.,"A staffed patch-and-hat bar with Gryphus bird, trail and music graphics.","Confirm corduroy front + mesh back, NO ROPES, patch production, staff, minimums and pricing. They customize their own hats, so outside blanks cannot be assumed.",Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://www.messhall.us/pages/mobile-pop-up,,20,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-266.svg
RIGWA,Runningman roster,National prospect,Camp + comfort,2,support@rigwalife.com,General support; request custom / events,https://www.rigwalife.com/,Reusable insulated food containers suit camping and picnics.,A limited reusable camp-lunch bowl collaboration with a local food vendor.,"Ask for co-branding minimums, production lead time, unit cost and whether a small sample activation is possible.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.rigwalife.com/,,21,https://runningmanfestival.com/wp-content/uploads/2025/08/Vector.svg
Turtlebox,Runningman roster,National prospect,Music + production,2,info@turtleboxaudio.com,General company contact,https://turtleboxaudio.com/pages/privacy-policy,Portable outdoor speakers suit a small camp listening area; they do not replace festival sound production.,A controlled-volume listening table or hosted morning camp gathering.,"Ask for a small equipment loan, music-use permissions and approved quiet-zone boundaries.",Prospect, no agreement,Official contact route checked,2026-09-20,https://turtleboxaudio.com/pages/privacy-policy,,22,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-271.svg
SISU Lifestyle,Runningman roster,National prospect,Recovery + wellness,2,sales@sisulifestyle.com · 216-294-2478 ext. 2,Public partnership / sales route,https://sisulifestyle.com/pages/partners,Sauna products and a founder testimonial on Runningman’s official experience page establish a relevant connection.,Explore a staffed sauna experience with a Texas operating partner.,"Ask whether they supply an event build, hardware or partner introductions; confirm transport, setup, power and supervision.",Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://sisulifestyle.com/pages/partners,https://runningmanfestival.com/experience/,23,https://runningmanfestival.com/wp-content/uploads/2025/08/Layer_1.svg
I Believe In You,Runningman roster,Pending verification,Identity check,3,Ask Runningman to identify this roster partner,Organizer routing only, brand contact unverified,https://runningmanfestival.com/contact-us/,The displayed logo was retained in the full roster. A reliable primary-source business match was not established.,Hold a category-specific proposal until the organizer confirms the exact company.,Send the original logo link to Runningman and ask for the company’s official website or a public partnership contact. Do not contact a similarly named business.,Prospect, no agreement,Business identity / direct contact unresolved,2026-09-20,https://runningmanfestival.com/,,24,https://runningmanfestival.com/wp-content/uploads/2025/08/Layer_1-1.svg
Athletic Brewing Co.,Runningman roster,National prospect,Food + drink,1,info@athleticbrewing.com,Explicit event sponsorship route,https://athleticbrewing.com/blogs/ambassadors,Non-alcoholic beer makes the post-ride social ritual more inclusive.,A welcoming post-ride toast and evening alcohol-free bar option.,"Ask for event sponsorship eligibility, servings, refrigeration, staffing and product-specific age policy.",Prospect, no agreement,Official contact route checked,2026-09-20,https://athleticbrewing.com/blogs/ambassadors,,25,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-278.svg
Harvia,Runningman roster,National prospect,Recovery + wellness,2,sales@harvia.us,US sales,https://www.harvia.com/en-US/contact/contact-persons/,Sauna heaters and systems may fit through an experienced local installer/operator.,A sauna hardware partnership delivered with a qualified operating partner.,"Ask for Texas dealer introductions, installation requirements, staffing, power and realistic capacity.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.harvia.com/en-US/contact/contact-persons/,,26,https://runningmanfestival.com/wp-content/uploads/2025/08/Isolation_Mode.svg
WOODWAY,Runningman roster,National prospect,Trail + movement,3,Find a sales representative,Business sales,https://www.woodway.com/contact/,"Treadmills are a performance-demo possibility, but the real trails should remain central.",A short coach-led movement demonstration within the outdoor expo.,"Ask whether a staffed loan unit can work on level covered flooring, with freight, power and weather protection included.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.woodway.com/contact/,,27,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-279.svg
SUJI,Runningman roster,National prospect,Recovery + wellness,3,Official FAQ / support,General support; request demonstrations,https://www.trysuji.com/apps/FAQ,Portable compression training equipment requires a carefully staffed product trial.,An optional product education appointment in the recovery area.,"Ask for qualified supervision, participant screening, hygiene, product guidance and event insurance requirements.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.trysuji.com/apps/FAQ,,28,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-280.svg
Re-Lyte,Runningman roster,National prospect,Food + drink,1,madisons@redmond.com · public media routing,Public media contact; request athletic partnerships / Mike Mumford,https://living.redmond.com/blogs/new-release/redmond-re-lyte-announces-official-electrolyte-mix-partnership-with-real-salt-lake-for-the-2026-season-in-utah-1,Electrolyte mixes fit trail-return hydration and refill points.,A clearly labeled drink-mix station alongside unrestricted plain drinking water.,"Ask for an introduction to athletic partnerships, portions, mixing equipment, potable water and dispensing staff.",Prospect, no agreement,Official contact route checked,2026-09-20,https://living.redmond.com/blogs/new-release/redmond-re-lyte-announces-official-electrolyte-mix-partnership-with-real-salt-lake-for-the-2026-season-in-utah-1,,29,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-282.svg
KANE,Runningman roster,National prospect,Trail + movement,2,KANE Support / wholesale route,General support; request events,https://help.kanefootwear.com/en-US,Recovery footwear makes a tangible transition from ride to campsite.,A clean try-on bench where riders can compare footwear after their activity.,"Ask for demo sizes, cleaning, a Texas retail partner and optional event-only purchase terms.",Prospect, no agreement,Official contact route checked,2026-09-20,https://help.kanefootwear.com/en-US,,30,https://runningmanfestival.com/wp-content/uploads/2025/08/Vector-1.svg
Promix,Runningman roster,National prospect,Food + drink,2,Official contact form,General company contact,https://promixnutrition.com/pages/contact,Protein and nutrition products suit an optional post-activity tasting.,A small shake or packaged-product sample counter in the expo.,"Ask which products are suitable for sampling, staff, water, refrigeration and ingredient/allergen labeling.",Prospect, no agreement,Official contact route checked,2026-09-20,https://promixnutrition.com/pages/contact,,31,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-284.svg
Othership,Runningman roster,National prospect,Recovery + wellness,2,shannon@othership.us,Explicit brand / corporate partnerships contact,https://www.othership.us/contact,Music-led breathwork and social wellness make a strong creative bridge to Gryphus.,"A short, seated, music-led breathing session in a shaded quiet area, with an easy opt-out.","Ask for a trained facilitator, licensed audio, participant guidance and a format suited to outdoor conditions.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.othership.us/contact,,32,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-285.svg
HYROX,Runningman roster,National prospect,Trail + movement,3,Official sponsorship contact form,Sponsorship route; co-promotion requires discussion,https://hyrox.com/sponsorships/,"Fitness racing could introduce a different movement community, but brings brand and programming requirements.",Explore an introductory session with an authorized local training partner.,"Ask about permissions, qualified coaches and whether a complementary activation makes sense alongside the MTB program.",Prospect, no agreement,Official contact route checked,2026-09-20,https://hyrox.com/sponsorships/,,33,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-286.svg
Silent Flower,Runningman roster,National prospect,Adult-only exploratory,3,Official wholesale inquiry,Wholesale route,https://drinksilentflower.com/pages/wholesale-inquiries,"THC-infused nonalcoholic rosé. This is an adult, regulated product prospect, not ordinary alcohol-free hydration.","Only explore a separate adult beverage partnership if current Texas rules, venue policy and the festival’s audience make it appropriate.","Establish product legality, age controls, service rules and insurance before considering an activation. Keep separate from family programming.",Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://drinksilentflower.com/pages/wholesale-inquiries,,34,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-292.svg
Dr. Doug’s Balms,Runningman roster,National prospect,Camp + comfort,2,reselling@drdougs.com,Reseller inquiry,https://www.drdougs.com/pages/home,Balms and athlete-care products fit a practical trail essentials counter.,A small sample station focused on product use for long days outdoors.,"Ask for sample format, labels, heat storage guidance and staffing; no festival medical claims.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.drdougs.com/pages/home,,35,https://runningmanfestival.com/wp-content/uploads/2025/08/Logo-with-TM-Vector-Dr.-Doug_s-Balms-1.svg
All Day Sauna Co.,Runningman roster,National prospect,Recovery + wellness,2,hello@alldaysaunaco.com,Explicit partnerships page,https://alldaysaunaco.com/pages/partnerships,Sauna-focused brand with a public partnership route.,A social sauna concept paired with an experienced local mobile operator.,"Ask whether they supply hardware, programming, merchandise or an operating team, plus all transport and utility needs.",Prospect, no agreement,Official contact route checked,2026-09-20,https://alldaysaunaco.com/pages/partnerships,,36,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-289.svg
DOPE Marketing,Runningman roster,National prospect,Community + media,3,support@dopemarketing.com,General support; request commercial team,https://www.dopemarketing.com/privacy-policy,Direct-mail and marketing services may help nearby audiences discover the event.,A tightly measured Comfort/Boerne household campaign pointing to a local weekend guide.,"Ask for a small test geography, print/postage quote and tracking; do not share private attendee data.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.dopemarketing.com/privacy-policy,,38,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-290.svg
Dream Performance & Recovery,Runningman roster,National prospect,Camp + comfort,3,support@dreamrecovery.io,General company contact,https://dreamrecovery.io/pages/contact,Sleep accessories fit a camp wind-down conversation; product suitability varies.,"A sleep-mask and quiet-camp demonstration, selecting simple non-invasive accessories.","Ask for event samples, labeling and product choices; avoid demonstrations that require medical screening.",Prospect, no agreement,Official contact route checked,2026-09-20,https://dreamrecovery.io/pages/contact,,39,https://runningmanfestival.com/wp-content/uploads/2025/08/Group.svg
Equip,Runningman roster,National prospect,Food + drink,2,Official contact form,General company contact,https://www.equipfoods.com/pages/contact-us,Protein powders and nutrition products could join a small expo tasting.,A staffed taste-comparison counter after trail activities.,"Ask for suitable products, portions, mixing and water plan, servers and ingredient labeling.",Prospect, no agreement,Official contact route checked,2026-09-20,https://www.equipfoods.com/pages/contact-us,,40,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-291.svg
Almost Heaven Saunas,Runningman roster,National prospect,Recovery + wellness,2,Sales expert contact form,Business sales,https://almostheaven.com/pages/contact-our-sales-team,Sauna structures could anchor a longer-term ranch installation or a carefully scoped demonstration.,Explore a staffed sauna installation only after venue approval and logistics review.,"Ask about rental versus permanent installation, freight, assembly, power, permits and operating partner.",Prospect, no agreement,Official contact route checked,2026-09-20,https://almostheaven.com/pages/contact-our-sales-team,,41,https://runningmanfestival.com/wp-content/uploads/2025/08/AHS_Lockup_White-1.svg
BE LOVE,Runningman roster,National prospect,Food + drink,2,store@drink.love,General support; request event marketing,https://drink.love/pages/faq,Electrolyte and energy beverages could support a social tasting or trail-return drink point.,A chilled tasting counter with caffeine content clearly labeled and plain water beside it.,"Ask for an event marketing lead, suitable products, case supply, refrigeration and recycling.",Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://drink.love/pages/faq,,42,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-294.svg
Kenetik,Runningman roster,National prospect,Food + drink,3,Official contact form,General company contact,https://drinkkenetik.com/pages/contact,Ketone drinks are a niche adult product-discovery fit.,An optional expo tasting with straightforward ingredients and no promised performance outcomes.,"Ask for sample quantities, product guidance, responsible presentation and staff.",Prospect, no agreement,Official contact route checked,2026-09-20,https://drinkkenetik.com/pages/contact,,43,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-295.svg
StripIt,Runningman roster,National prospect,Recovery + wellness,3,hello@getstripit.com,General company contact,https://getstripit.com/products/digest-strip,"Dissolvable supplement strips are a niche product-discovery opportunity, not a core guest need.",An optional adult product-information booth with packaging and instructions visible.,"Ask about event sampling policy, ingredient guidance and staffing; do not promise sleep or digestive outcomes.",Prospect, no agreement,Identity visually matched; official contact route checked,2026-09-20,https://getstripit.com/products/digest-strip,,44,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-296.svg
The Big A## Calendar,Runningman roster,National prospect,Community + media,2,info@thebigasscalendar.com,General customer service; request collaborations,https://thebigasscalendar.com/pages/faq,"Large planning calendars create an easy, social way to think about the next adventure.",A giant shared adventure calendar where guests add one outdoor goal or future trip.,"Ask about an event-size display, custom printing permissions and small take-home cards.",Prospect, no agreement,Official contact route checked,2026-09-20,https://thebigasscalendar.com/pages/faq,,45,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-287.svg
TentCraft,Runningman roster,National prospect,Music + production,1,info@tentcraft.com,Business / custom structures,https://tentcraft.com/contact-us,"Custom tents, signage and structures could make shade and wayfinding feel cohesive.","A clearly signed shade-and-meet-up hub linking trails, food and music.","Ask for a site-plan-based quote, dimensions, ballast, wind limits, freight and installation crew.",Prospect, no agreement,Official contact route checked,2026-09-20,https://tentcraft.com/contact-us,,46,https://runningmanfestival.com/wp-content/uploads/2025/08/Group-270.svg
